Trip,Service ID,Time
APR16-APRDA16-Weekday-16,41062253,061800
APR16-APRDA16-Weekday-16,41060245,063800
APR16-APRDA16-Weekday-16,41063612,065800
APR16-APRDA16-Weekday-16,41062361,071700
APR16-APRDA16-Weekday-16,41062331,073200
APR16-APRDA16-Weekday-16,41062650,074700
APR16-APRDA16-Weekday-16,41061215,080200
APR16-APRDA16-Weekday-16,41061129,081800
APR16-APRDA16-Weekday-16,41059114,083800
APR16-APRDA16-Weekday-16,41059454,085800
APR16-APRDA16-Weekday-16,41062652,091800
APR16-APRDA16-Weekday-16,41061131,093800
APR16-APRDA16-Weekday-16,41059455,095800
APR16-APRDA16-Weekday-16,41059472,101800
APR16-APRDA16-Weekday-16,41062654,103800
APR16-APRDA16-Weekday-16,41061133,105800
APR16-APRDA16-Weekday-16,41059457,111800
APR16-APRDA16-Weekday-16,41059474,113800
APR16-APRDA16-Weekday-16,41062656,115800
APR16-APRDA16-Weekday-16,41061135,121900
APR16-APRDA16-Weekday-16,41059459,123900
APR16-APRDA16-Weekday-16,41059476,125900
APR16-APRDA16-Weekday-16,41062658,131900
APR16-APRDA16-Weekday-16,41061137,133900
APR16-APRDA16-Weekday-16,41059461,135900
APR16-APRDA16-Weekday-16,41059478,142000
APR16-APRDA16-Weekday-16,41062660,144000
APR16-APRDA16-Weekday-16,41061139,145900
APR16-APRDA16-Weekday-16,41062106,150700
APR16-APRDA16-Weekday-16,41059377,151600
APR16-APRDA16-Weekday-16,41063547,152600
APR16-APRDA16-Weekday-16,41059463,153600
APR16-APRDA16-Weekday-16,41060873,154700
APR16-APRDA16-Weekday-16,41063217,155700
APR16-APRDA16-Weekday-16,41063562,160700
APR16-APRDA16-Weekday-16,41060519,161700
APR16-APRDA16-Weekday-16,41060079,162700
APR16-APRDA16-Weekday-16,41061141,163700
APR16-APRDA16-Weekday-16,41059252,164700
APR16-APRDA16-Weekday-16,41060270,165700
APR16-APRDA16-Weekday-16,41061068,170600
APR16-APRDA16-Weekday-16,41059465,171600
APR16-APRDA16-Weekday-16,41063219,172600
APR16-APRDA16-Weekday-16,41060156,173600
APR16-APRDA16-Weekday-16,41060521,175500
APR16-APRDA16-Weekday-16,41059254,181800
APR16-APRDA16-Weekday-16,41059467,184800
APR16-APRDA16-Weekday-16,41060523,191900
APR16-APRDA16-Weekday-16,41059256,194900
APR16-APRDA16-Weekday-16,41060525,202000
APR16-APRDA16-Weekday-16,41059258,205000
APR16-APRDA16-Weekday-16,41060527,211900
APR16-APRDA16-Weekday-16,41059260,214900
APR16-APRDA16-Weekday-16,41060529,221900
APR16-APRDA16-Weekday-16,41059262,224900
APR16-APRDA16-Weekday-16,41060531,232900
APR16-APRSA16-Saturday-02,40936566,065500
APR16-APRSA16-Saturday-02,40937642,072500
APR16-APRSA16-Saturday-02,40936567,075500
APR16-APRSA16-Saturday-02,40936568,082500
APR16-APRSA16-Saturday-02,40936569,085500
APR16-APRSA16-Saturday-02,40936570,092500
APR16-APRSA16-Saturday-02,40936571,095500
APR16-APRSA16-Saturday-02,40936572,102500
APR16-APRSA16-Saturday-02,40936573,105500
APR16-APRSA16-Saturday-02,40936574,112700
APR16-APRSA16-Saturday-02,40936575,115700
APR16-APRSA16-Saturday-02,40936576,122700
APR16-APRSA16-Saturday-02,40936577,125700
APR16-APRSA16-Saturday-02,40936578,132700
APR16-APRSA16-Saturday-02,40936579,135700
APR16-APRSA16-Saturday-02,40936580,142700
APR16-APRSA16-Saturday-02,40936581,145700
APR16-APRSA16-Saturday-02,40936582,152700
APR16-APRSA16-Saturday-02,40936583,155700
APR16-APRSA16-Saturday-02,40936584,162700
APR16-APRSA16-Saturday-02,40936585,165700
APR16-APRSA16-Saturday-02,40936586,172700
APR16-APRSA16-Saturday-02,40936587,175700
APR16-APRSA16-Saturday-02,40936588,182600
APR16-APRSA16-Saturday-02,40936589,185600
APR16-APRSA16-Saturday-02,40936590,192400
APR16-APRSA16-Saturday-02,40936591,195400
APR16-APRSA16-Saturday-02,40936592,202400
APR16-APRSA16-Saturday-02,40936593,205400
APR16-APRSA16-Saturday-02,40936594,212400
APR16-APRSA16-Saturday-02,40936595,215400
APR16-APRSA16-Saturday-02,40936596,222400
APR16-APRSA16-Saturday-02,40936597,225400
APR16-APRSA16-Saturday-02,40936598,232400
APR16-APRSA16-Saturday-02,40936599,235400
APR16-APRSU16-Sunday-02,40960727,083100
APR16-APRSU16-Sunday-02,40960728,090100
APR16-APRSU16-Sunday-02,40960729,093100
APR16-APRSU16-Sunday-02,40960730,100100
APR16-APRSU16-Sunday-02,40960731,103200
APR16-APRSU16-Sunday-02,40960732,110200
APR16-APRSU16-Sunday-02,40960733,113200
APR16-APRSU16-Sunday-02,40960734,120200
APR16-APRSU16-Sunday-02,40960735,123200
APR16-APRSU16-Sunday-02,40960736,130200
APR16-APRSU16-Sunday-02,40960737,133300
APR16-APRSU16-Sunday-02,40960738,140300
APR16-APRSU16-Sunday-02,40960739,143300
APR16-APRSU16-Sunday-02,40960740,150300
APR16-APRSU16-Sunday-02,40960741,153300
APR16-APRSU16-Sunday-02,40960742,160300
APR16-APRSU16-Sunday-02,40960743,163300
APR16-APRSU16-Sunday-02,40960744,170300
APR16-APRSU16-Sunday-02,40960745,173300
APR16-APRSU16-Sunday-02,40960746,180300
APR16-APRSU16-Sunday-02,40960747,183300
APR16-APRSU16-Sunday-02,40960748,190200
APR16-APRSU16-Sunday-02,40960749,193200
APR16-APRSU16-Sunday-02,40960750,200200
APR16-APRSU16-Sunday-02,40960751,203200
APR16-APRSU16-Sunday-02,40961612,210200
APR16-APRSU16-Sunday-02,40960752,213200
APR16-APRSU16-Sunday-02,40960753,223200
APR16-SunBik16-Sunday-01,41054996,083100
APR16-SunBik16-Sunday-01,41054997,090100
APR16-SunBik16-Sunday-01,41054998,093100
APR16-SunBik16-Sunday-01,41054999,100100
APR16-SunBik16-Sunday-01,41055000,103200
APR16-SunBik16-Sunday-01,41055001,110200
APR16-SunBik16-Sunday-01,41055002,113200
APR16-SunBik16-Sunday-01,41055003,120200
APR16-SunBik16-Sunday-01,41055004,123200
APR16-SunBik16-Sunday-01,41055005,130200
APR16-SunBik16-Sunday-01,41055006,133300
APR16-SunBik16-Sunday-01,41055007,140300
APR16-SunBik16-Sunday-01,41055008,143300
APR16-SunBik16-Sunday-01,41055009,150300
APR16-SunBik16-Sunday-01,41055010,153300
APR16-SunBik16-Sunday-01,41055011,160300
APR16-SunBik16-Sunday-01,41055012,163300
APR16-SunBik16-Sunday-01,41055013,170300
APR16-SunBik16-Sunday-01,41055014,173300
APR16-SunBik16-Sunday-01,41055015,180300
APR16-SunBik16-Sunday-01,41055016,183300
APR16-SunBik16-Sunday-01,41055017,190200
APR16-SunBik16-Sunday-01,41055018,193200
APR16-SunBik16-Sunday-01,41055019,200200
APR16-SunBik16-Sunday-01,41055020,203200
APR16-SunBik16-Sunday-01,41055881,210200
APR16-SunBik16-Sunday-01,41055021,213200
APR16-SunBik16-Sunday-01,41055022,223200
EAMO16-EAMO16-Weekday-01,39416991,061800
EAMO16-EAMO16-Weekday-01,39414960,063800
EAMO16-EAMO16-Weekday-01,39418333,065800
EAMO16-EAMO16-Weekday-01,39417097,071700
EAMO16-EAMO16-Weekday-01,39417068,073200
EAMO16-EAMO16-Weekday-01,39417384,074700
EAMO16-EAMO16-Weekday-01,39415941,080200
EAMO16-EAMO16-Weekday-01,39415855,081800
EAMO16-EAMO16-Weekday-01,39413820,083800
EAMO16-EAMO16-Weekday-01,39414166,085800
EAMO16-EAMO16-Weekday-01,39417386,091800
EAMO16-EAMO16-Weekday-01,39415857,093800
EAMO16-EAMO16-Weekday-01,39414167,095800
EAMO16-EAMO16-Weekday-01,39414184,101800
EAMO16-EAMO16-Weekday-01,39417388,103800
EAMO16-EAMO16-Weekday-01,39415859,105800
EAMO16-EAMO16-Weekday-01,39414169,111800
EAMO16-EAMO16-Weekday-01,39414186,113800
EAMO16-EAMO16-Weekday-01,39417390,115800
EAMO16-EAMO16-Weekday-01,39415861,121900
EAMO16-EAMO16-Weekday-01,39414171,123900
EAMO16-EAMO16-Weekday-01,39414188,125900
EAMO16-EAMO16-Weekday-01,39417392,131900
EAMO16-EAMO16-Weekday-01,39415863,133900
EAMO16-EAMO16-Weekday-01,39414173,135900
EAMO16-EAMO16-Weekday-01,39414190,142000
EAMO16-EAMO16-Weekday-01,39417394,144000
EAMO16-EAMO16-Weekday-01,39415865,145900
EAMO16-EAMO16-Weekday-01,39416840,150700
EAMO16-EAMO16-Weekday-01,39414089,151600
EAMO16-EAMO16-Weekday-01,39418267,152600
EAMO16-EAMO16-Weekday-01,39414175,153600
EAMO16-EAMO16-Weekday-01,39415600,154700
EAMO16-EAMO16-Weekday-01,39417939,155700
EAMO16-EAMO16-Weekday-01,39418283,160700
EAMO16-EAMO16-Weekday-01,39415233,161700
EAMO16-EAMO16-Weekday-01,39414790,162700
EAMO16-EAMO16-Weekday-01,39415867,163700
EAMO16-EAMO16-Weekday-01,39413963,164700
EAMO16-EAMO16-Weekday-01,39414984,165700
EAMO16-EAMO16-Weekday-01,39415794,170600
EAMO16-EAMO16-Weekday-01,39414177,171600
EAMO16-EAMO16-Weekday-01,39417941,172600
EAMO16-EAMO16-Weekday-01,39414868,173600
EAMO16-EAMO16-Weekday-01,39415235,175500
EAMO16-EAMO16-Weekday-01,39413965,181800
EAMO16-EAMO16-Weekday-01,39414179,184800
EAMO16-EAMO16-Weekday-01,39415237,191900
EAMO16-EAMO16-Weekday-01,39413967,194900
EAMO16-EAMO16-Weekday-01,39415239,202000
EAMO16-EAMO16-Weekday-01,39413969,205000
EAMO16-EAMO16-Weekday-01,39415241,211900
EAMO16-EAMO16-Weekday-01,39413971,214900
EAMO16-EAMO16-Weekday-01,39415243,221900
EAMO16-EAMO16-Weekday-01,39413973,224900
EAMO16-EAMO16-Weekday-01,39415245,232900
FMDA16-FMDA16-Weekday-01,39401396,061800
FMDA16-FMDA16-Weekday-01,39399365,063800
FMDA16-FMDA16-Weekday-01,39402738,065800
FMDA16-FMDA16-Weekday-01,39401502,071700
FMDA16-FMDA16-Weekday-01,39401473,073200
FMDA16-FMDA16-Weekday-01,39401789,074700
FMDA16-FMDA16-Weekday-01,39400346,080200
FMDA16-FMDA16-Weekday-01,39400260,081800
FMDA16-FMDA16-Weekday-01,39351025,083800
FMDA16-FMDA16-Weekday-01,39398571,085800
FMDA16-FMDA16-Weekday-01,39401791,091800
FMDA16-FMDA16-Weekday-01,39400262,093800
FMDA16-FMDA16-Weekday-01,39398572,095800
FMDA16-FMDA16-Weekday-01,39398589,101800
FMDA16-FMDA16-Weekday-01,39401793,103800
FMDA16-FMDA16-Weekday-01,39400264,105800
FMDA16-FMDA16-Weekday-01,39398574,111800
FMDA16-FMDA16-Weekday-01,39398591,113800
FMDA16-FMDA16-Weekday-01,39401795,115800
FMDA16-FMDA16-Weekday-01,39400266,121900
FMDA16-FMDA16-Weekday-01,39398576,123900
FMDA16-FMDA16-Weekday-01,39398593,125900
FMDA16-FMDA16-Weekday-01,39401797,131900
FMDA16-FMDA16-Weekday-01,39400268,133900
FMDA16-FMDA16-Weekday-01,39398578,135900
FMDA16-FMDA16-Weekday-01,39398595,142000
FMDA16-FMDA16-Weekday-01,39401799,144000
FMDA16-FMDA16-Weekday-01,39400270,145900
FMDA16-FMDA16-Weekday-01,39401245,150700
FMDA16-FMDA16-Weekday-01,39398494,151600
FMDA16-FMDA16-Weekday-01,39402672,152600
FMDA16-FMDA16-Weekday-01,39398580,153600
FMDA16-FMDA16-Weekday-01,39400005,154700
FMDA16-FMDA16-Weekday-01,39402344,155700
FMDA16-FMDA16-Weekday-01,39402688,160700
FMDA16-FMDA16-Weekday-01,39399638,161700
FMDA16-FMDA16-Weekday-01,39399195,162700
FMDA16-FMDA16-Weekday-01,39400272,163700
FMDA16-FMDA16-Weekday-01,39398368,164700
FMDA16-FMDA16-Weekday-01,39399389,165700
FMDA16-FMDA16-Weekday-01,39400199,170600
FMDA16-FMDA16-Weekday-01,39398582,171600
FMDA16-FMDA16-Weekday-01,39402346,172600
FMDA16-FMDA16-Weekday-01,39399273,173600
FMDA16-FMDA16-Weekday-01,39399640,175500
FMDA16-FMDA16-Weekday-01,39398370,181800
FMDA16-FMDA16-Weekday-01,39398584,184800
FMDA16-FMDA16-Weekday-01,39399642,191900
FMDA16-FMDA16-Weekday-01,39398372,194900
FMDA16-FMDA16-Weekday-01,39399644,202000
FMDA16-FMDA16-Weekday-01,39398374,205000
FMDA16-FMDA16-Weekday-01,39399646,211900
FMDA16-FMDA16-Weekday-01,39398376,214900
FMDA16-FMDA16-Weekday-01,39399648,221900
FMDA16-FMDA16-Weekday-01,39398378,224900
FMDA16-FMDA16-Weekday-01,39399650,232900
JAN16B-JANDA16-Weekday-16,39370494,061800
JAN16B-JANDA16-Weekday-16,39370494,061800
JAN16B-JANDA16-Weekday-16,39368452,063800
JAN16B-JANDA16-Weekday-16,39368452,063800
JAN16B-JANDA16-Weekday-16,39371868,065800
JAN16B-JANDA16-Weekday-16,39371868,065800
JAN16B-JANDA16-Weekday-16,39370603,071700
JAN16B-JANDA16-Weekday-16,39370603,071700
JAN16B-JANDA16-Weekday-16,39370573,073200
JAN16B-JANDA16-Weekday-16,39370573,073200
JAN16B-JANDA16-Weekday-16,39370894,074700
JAN16B-JANDA16-Weekday-16,39370894,074700
JAN16B-JANDA16-Weekday-16,39369438,080200
JAN16B-JANDA16-Weekday-16,39369438,080200
JAN16B-JANDA16-Weekday-16,39369352,081800
JAN16B-JANDA16-Weekday-16,39369352,081800
JAN16B-JANDA16-Weekday-16,39367302,083800
JAN16B-JANDA16-Weekday-16,39367302,083800
JAN16B-JANDA16-Weekday-16,39367649,085800
